"district"	"county"	"town"	"democrat"	"republican"	"ind1"	"ind2"	"blank"	"total"	"join_id"
117	"OXF"	"SOUTH OXFORD"	118	188			9	315	"117 SOUTH OXFORD"
117	"OXF"	"ANDOVER"	218	309			19	546	"117 ANDOVER"
117	"OXF"	"BETHEL"	715	948			49	1712	"117 BETHEL"
117	"OXF"	"BYRON"	42	42			9	93	"117 BYRON"
117	"OXF"	"GILEAD"	36	76			6	118	"117 GILEAD"
117	"OXF"	"GREENWOOD"	185	271			18	474	"117 GREENWOOD"
117	"OXF"	"HANOVER"	73	109			7	189	"117 HANOVER"
117	"OXF"	"LINCOLN"	6	21			2	29	"117 LINCOLN"
117	"OXF"	"LOVELL"	24	32			2	58	"117 LOVELL"
117	"OXF"	"MAGALLOWAY"	1	17			0	18	"117 MAGALLOWAY"
117	"OXF"	"NEWRY"	117	149			16	282	"117 NEWRY"
117	"OXF"	"STONEHAM"	79	85			12	176	"117 STONEHAM"
117	"OXF"	"STOW"	112	104			11	227	"117 STOW"
117	"OXF"	"UPTON"	12	41			7	60	"117 UPTON"
118	"FRA"	"WYMAN"	14	16			3	33	"118 WYMAN"
118	"PIS"	"KINGSBURY"	3	13			3	19	"118 KINGSBURY"
118	"PIS"	"WELLINGTON"	48	57			15	120	"118 WELLINGTON"
118	"SOM"	"ATHENS"	178	296			27	501	"118 ATHENS"
118	"SOM"	"BINGHAM"	195	298			51	544	"118 BINGHAM"
118	"SOM"	"BRIGHTON"	14	33			2	49	"118 BRIGHTON"
118	"SOM"	"CARATUNK"	24	21			5	50	"118 CARATUNK"
118	"SOM"	"CONCORD TOWNSHIP"	1	2			0	3	"118 CONCORD TOWNSHIP"
118	"SOM"	"CORNVILLE"	349	338			45	732	"118 CORNVILLE"
118	"SOM"	"DENNISTOWN"	5	17			4	26	"118 DENNISTOWN"
118	"SOM"	"EMBDEN"	190	306			39	535	"118 EMBDEN"
118	"SOM"	"HARMONY"	167	282			44	493	"118 HARMONY"
118	"SOM"	"HIGHLAND"	36	73			9	118	"118 HIGHLAND"
118	"SOM"	"JACKMAN"	150	339			55	544	"118 JACKMAN"
118	"SOM"	"LEXINGTON/SPRING LAKE"	5	14			2	21	"118 LEXINGTON/SPRING LAKE"
118	"SOM"	"MOOSE RIVER"	15	93			11	119	"118 MOOSE RIVER"
118	"SOM"	"MOSCOW"	97	134			32	263	"118 MOSCOW"
118	"SOM"	"PLEASANT RIDGE"	13	35			3	51	"118 PLEASANT RIDGE"
118	"SOM"	"NORTHEAST SOMERSET"	61	145			18	224	"118 NORTHEAST SOMERSET"
118	"SOM"	"THE FORKS"	12	26			6	44	"118 THE FORKS"
118	"SOM"	"WEST FORKS"	16	29			4	49	"118 WEST FORKS"
118	"SOM"	"NORTHWEST SOMERSET"	6	16			2	24	"118 NORTHWEST SOMERSET"
119	"PIS"	"ABBOT"		341			67	408	"119 ABBOT"
119	"PIS"	"BARNARD/EBEEMEE/T4 R9 NWP/WILLIAMSBURG"		88			16	104	"119 BARNARD/EBEEMEE/T4 R9 NWP/WILLIAMSBURG"
119	"PIS"	"BEAVER COVE"		83			18	101	"119 BEAVER COVE"
119	"PIS"	"BOWERBANK"		82			11	93	"119 BOWERBANK"
119	"PIS"	"ELLIOTTSVILLE"		11			5	16	"119 ELLIOTTSVILLE"
119	"PIS"	"GREENVILLE"		923			205	1128	"119 GREENVILLE"
119	"PIS"	"GUILFORD"		634			68	702	"119 GUILFORD"
119	"PIS"	"MILLINOCKET PISCATAQUS TOWNSHIPS"		59			8	67	"119 MILLINOCKET PISCATAQUS TOWNSHIPS"
119	"PIS"	"MONSON"		376			82	458	"119 MONSON"
119	"PIS"	"PARKMAN"		427			71	498	"119 PARKMAN"
119	"PIS"	"SANGERVILLE"		658			73	731	"119 SANGERVILLE"
119	"PIS"	"SEBEC"		338			57	395	"119 SEBEC"
119	"PIS"	"SHIRLEY"		131			19	150	"119 SHIRLEY"
119	"PIS"	"T10 R15 WELS"		1			0	1	"119 T10 R15 WELS"
119	"PIS"	"WILLIMANTIC"		70			18	88	"119 WILLIMANTIC"
119	"PIS"	"NORTHEAST PISCATAQUIS"		99			21	120	"119 NORTHEAST PISCATAQUIS"
119	"PIS"	"NORTHWEST PISCATAQUIS"	0	60			8	68	"119 NORTHWEST PISCATAQUIS"
120	"PIS"	"ATKINSON"	79	103			6	188	"120 ATKINSON"
120	"PIS"	"BROWNVILLE"	256	328			27	611	"120 BROWNVILLE"
120	"PIS"	"DOVER-FOXCROFT"	1031	1096			49	2176	"120 DOVER-FOXCROFT"
120	"PIS"	"LAKE VIEW"	35	36			2	73	"120 LAKE VIEW"
120	"PIS"	"MEDFORD"	64	81			7	152	"120 MEDFORD"
120	"PIS"	"MILO"	530	656			53	1239	"120 MILO"
121	"PEN"	"ALTON"	243	220			10	473	"121 ALTON"
121	"PEN"	"ARGYLE"	89	60			5	154	"121 ARGYLE"
121	"PEN"	"CORINTH"	618	849			64	1531	"121 CORINTH"
121	"PEN"	"HUDSON"	413	321			24	758	"121 HUDSON"
121	"PEN"	"MILFORD"	848	738			59	1645	"121 MILFORD"
122	"PEN"	"OLD TOWN"	2233	1501			214	3948	"122 OLD TOWN"
122	"PEN"	"PENOBSCOT INDIAN ISLAND"	198	60			26	284	"122 PENOBSCOT INDIAN ISLAND"
123	"PEN"	"ORONO"	2812	1515			420	4747	"123 ORONO"
124	"PEN"	"BANGOR"	2233	1521			258	4012	"124 BANGOR"
124	"PEN"	"ORONO"	458	318			33	809	"124 ORONO"
125	"PEN"	"BANGOR"	2093	1818	232		160	4303	"125 BANGOR"
126	"PEN"	"BANGOR"	1796	1458			188	3442	"126 BANGOR"
127	"PEN"	"BANGOR"	2208	1719			228	4155	"127 BANGOR"
128	"PEN"	"BREWER"	2350	2407			195	4952	"128 BREWER"
129	"PEN"	"BREWER"	126	203			23	352	"129 BREWER"
129	"PEN"	"CLIFTON"	195	301			22	518	"129 CLIFTON"
129	"PEN"	"EDDINGTON"	455	859			53	1367	"129 EDDINGTON"
129	"PEN"	"HOLDEN"	694	1265			91	2050	"129 HOLDEN"
129	"PEN"	"VEAZIE"	490	602			76	1168	"129 VEAZIE"
130	"HAN"	"BUCKSPORT"	1080	1472			103	2655	"130 BUCKSPORT"
130	"PEN"	"ORRINGTON"	641	1693			81	2415	"130 ORRINGTON"
131	"HAN"	"DEDHAM"	316	758			26	1100	"131 DEDHAM"
131	"HAN"	"ORLAND"	389	983			30	1402	"131 ORLAND"
131	"HAN"	"OTIS"	91	342			16	449	"131 OTIS"
131	"HAN"	"PENOBSCOT"	370	420			20	810	"131 PENOBSCOT"
131	"HAN"	"VERONA ISLAND"	99	208			7	314	"131 VERONA ISLAND"
131	"WAL"	"PROSPECT"	87	313			18	418	"131 PROSPECT"
131	"WAL"	"STOCKTON SPRINGS"	333	664			24	1021	"131 STOCKTON SPRINGS"
132	"HAN"	"ELLSWORTH"	2675	1567			108	4350	"132 ELLSWORTH"
132	"HAN"	"TRENTON"	525	323			30	878	"132 TRENTON"
133	"HAN"	"BLUE HILL"	1093	686			45	1824	"133 BLUE HILL"
133	"HAN"	"BROOKLIN"	350	212			12	574	"133 BROOKLIN"
133	"HAN"	"BROOKSVILLE"	404	238			15	657	"133 BROOKSVILLE"
133	"HAN"	"CASTINE"	324	241			35	600	"133 CASTINE"
133	"HAN"	"SEDGWICK"	410	327			26	763	"133 SEDGWICK"
133	"HAN"	"SURRY"	440	552			24	1016	"133 SURRY"
134	"HAN"	"CRANBERRY ISLES"	126				27	153	"134 CRANBERRY ISLES"
134	"HAN"	"DEER ISLE"	1031				199	1230	"134 DEER ISLE"
134	"HAN"	"FRENCHBORO"	27				6	33	"134 FRENCHBORO"
134	"HAN"	"SOUTHWEST HARBOR"	881				254	1135	"134 SOUTHWEST HARBOR"
134	"HAN"	"STONINGTON"	522				89	611	"134 STONINGTON"
134	"HAN"	"SWANS ISLAND"	193				61	254	"134 SWANS ISLAND"
134	"HAN"	"TREMONT"	737				206	943	"134 TREMONT"
134	"KNO"	"ISLE AU HAUT"	54				12	66	"134 ISLE AU HAUT"
134	"KNO"	"NORTH HAVEN"	251				50	301	"134 NORTH HAVEN"
134	"KNO"	"VINALHAVEN"	639				148	787	"134 VINALHAVEN"
135	"HAN"	"BAR HARBOR"	2480	622			115	3217	"135 BAR HARBOR"
135	"HAN"	"LAMOINE"	498	579			35	1112	"135 LAMOINE"
135	"HAN"	"MOUNT DESERT"	988	404			44	1436	"135 MOUNT DESERT"
136	"HAN"	"CENTRAL HANCOCK"	17	31			3	51	"136 CENTRAL HANCOCK"
136	"HAN"	"GOULDSBORO"	462	548			24	1034	"136 GOULDSBORO"
136	"HAN"	"HANCOCK"	430	853			48	1331	"136 HANCOCK"
136	"HAN"	"MARIAVILLE"	102	173			17	292	"136 MARIAVILLE"
136	"HAN"	"OSBORN"	13	26			2	41	"136 OSBORN"
136	"HAN"	"SORRENTO"	92	107			11	210	"136 SORRENTO"
136	"HAN"	"SULLIVAN"	356	294			27	677	"136 SULLIVAN"
136	"HAN"	"T10 SD"	1	0			0	1	"136 T10 SD"
136	"HAN"	"T7 SD"	3	1			1	5	"136 T7 SD"
136	"HAN"	"WALTHAM"	41	159			10	210	"136 WALTHAM"
136	"HAN"	"WINTER HARBOR"	124	165			21	310	"136 WINTER HARBOR"
136	"WAS"	"STEUBEN"	286	305			49	640	"136 STEUBEN"
136	"HAN"	"EAST HANCOCK"	4	1			1	6	"136 EAST HANCOCK"
137	"HAN"	"AMHERST"	53	115			6	174	"137 AMHERST"
137	"HAN"	"AURORA"	23	52			1	76	"137 AURORA"
137	"HAN"	"EASTBROOK"	81	152			11	244	"137 EASTBROOK"
137	"HAN"	"FRANKLIN"	392	386			33	811	"137 FRANKLIN"
137	"HAN"	"GREAT POND"	15	26			0	41	"137 GREAT POND"
137	"HAN"	"T10 SD"	3	9			1	13	"137 T10 SD"
137	"HAN"	"T22 MD"	0	5			0	5	"137 T22 MD"
137	"HAN"	"T3 ND"	3	3			0	6	"137 T3 ND"
137	"HAN"	"T9 SD/T10 SD"	1	6			0	7	"137 T9 SD/T10 SD"
137	"PEN"	"BRADFORD"	228	422			29	679	"137 BRADFORD"
137	"PEN"	"BRADLEY"	337	445			52	834	"137 BRADLEY"
137	"PEN"	"EDINBURG"	33	42			0	75	"137 EDINBURG"
137	"PEN"	"GRAND FALLS TOWNSHIP"	5	1			1	7	"137 GRAND FALLS TOWNSHIP"
137	"PEN"	"GREENBUSH"	221	454			34	709	"137 GREENBUSH"
137	"PEN"	"LAGRANGE"	124	221			25	370	"137 LAGRANGE"
137	"PEN"	"GREENFIELD TOWNSHIP"	41	90			7	138	"137 GREENFIELD TOWNSHIP"
137	"PEN"	"PASSADUMKEAG"	57	156			11	224	"137 PASSADUMKEAG"
137	"WAS"	"BEDDINGTON"	12	24			1	37	"137 BEDDINGTON"
137	"WAS"	"DEBLOIS"	10	28			1	39	"137 DEBLOIS"
137	"WAS"	"NORTHFIELD"	36	65			7	108	"137 NORTHFIELD"
137	"WAS"	"WESLEY"	28	51			4	83	"137 WESLEY"
137	"PEN"	"EAST CENTRAL PENOBSCOT"	46	91			8	145	"137 EAST CENTRAL PENOBSCOT"
137	"HAN"	"EAST HANCOCK"	7	23			1	31	"137 EAST HANCOCK"
138	"WAS"	"ADDISON"	347	318			15	680	"138 ADDISON"
138	"WAS"	"BEALS"	167	111			10	288	"138 BEALS"
138	"WAS"	"NORTH WASHINGTON"	4	14			0	18	"138 NORTH WASHINGTON"
138	"WAS"	"CHERRYFIELD"	296	330			25	651	"138 CHERRYFIELD"
138	"WAS"	"COLUMBIA"	87	131			2	220	"138 COLUMBIA"
138	"WAS"	"COLUMBIA FALLS"	119	178			5	302	"138 COLUMBIA FALLS"
138	"WAS"	"HARRINGTON"	223	266			12	501	"138 HARRINGTON"
138	"WAS"	"JONESBORO"	214	124			3	341	"138 JONESBORO"
138	"WAS"	"JONESPORT"	434	237			17	688	"138 JONESPORT"
138	"WAS"	"MARSHFIELD"	148	162			7	317	"138 MARSHFIELD"
138	"WAS"	"MILBRIDGE"	343	315			37	695	"138 MILBRIDGE"
138	"WAS"	"WHITNEYVILLE"	60	53			2	115	"138 WHITNEYVILLE"
139	"WAS"	"CUTLER"	28	263			6	297	"139 CUTLER"
139	"WAS"	"EAST MACHIAS"	150	569			8	727	"139 EAST MACHIAS"
139	"WAS"	"EASTPORT"	413	368			34	815	"139 EASTPORT"
139	"WAS"	"LUBEC"	206	591			26	823	"139 LUBEC"
139	"WAS"	"MACHIAS"	244	728			27	999	"139 MACHIAS"
139	"WAS"	"MACHIASPORT"	110	382			14	506	"139 MACHIASPORT"
139	"WAS"	"ROQUE BLUFFS"	57	115			1	173	"139 ROQUE BLUFFS"
139	"WAS"	"WHITING"	100	231			4	335	"139 WHITING"
140	"WAS"	"BAILEYVILLE"	353	334			20	707	"140 BAILEYVILLE"
140	"WAS"	"BARING"	57	62			8	127	"140 BARING"
140	"WAS"	"CALAIS"	699	748			58	1505	"140 CALAIS"
140	"WAS"	"CHARLOTTE"	80	103			2	185	"140 CHARLOTTE"
140	"WAS"	"INDIAN TOWNSHIP"	197	64			20	281	"140 INDIAN TOWNSHIP"
140	"WAS"	"PEMBROKE"	234	248			18	500	"140 PEMBROKE"
140	"WAS"	"PERRY"	229	225			17	471	"140 PERRY"
140	"WAS"	"PASSAMAQUODDY PLEASANT POINT"	166	68			21	255	"140 PASSAMAQUODDY PLEASANT POINT"
140	"WAS"	"ROBBINSTON"	150	169			11	330	"140 ROBBINSTON"
140	"WAS"	"PASSAMAQUODDY INDIAN TOWNSHIP"	363	132			41	536	"140 PASSAMAQUODDY INDIAN TOWNSHIP"
141	"PEN"	"BURLINGTON"	24	159			11	194	"141 BURLINGTON"
141	"PEN"	"CARROLL"	15	75			5	95	"141 CARROLL"
141	"PEN"	"CHESTER"	100	216			16	332	"141 CHESTER"
141	"PEN"	"DREW"	1	22			1	24	"141 DREW"
141	"PEN"	"KINGMAN"	11	57			3	71	"141 KINGMAN"
141	"PEN"	"LAKEVILLE"	15	44			0	59	"141 LAKEVILLE"
141	"PEN"	"LEE"	113	397			24	534	"141 LEE"
141	"PEN"	"LOWELL"	49	171			12	232	"141 LOWELL"
141	"PEN"	"MATTAWAMKEAG"	117	212			33	362	"141 MATTAWAMKEAG"
141	"PEN"	"PRENTISS"	22	68			8	98	"141 PRENTISS"
141	"PEN"	"SPRINGFIELD"	24	143			11	178	"141 SPRINGFIELD"
141	"PEN"	"WEBSTER"	15	16			1	32	"141 WEBSTER"
141	"PEN"	"WINN"	44	150			7	201	"141 WINN"
141	"WAS"	"ALEXANDER"	74	221			18	313	"141 ALEXANDER"
141	"WAS"	"BERRY/CATHANCE/MARION"	10	21			2	33	"141 BERRY/CATHANCE/MARION"
141	"WAS"	"CATHANCE"	2	6			3	11	"141 CATHANCE"
141	"WAS"	"COOPER"	22	68			5	95	"141 COOPER"
141	"WAS"	"CRAWFORD"	12	54			7	73	"141 CRAWFORD"
141	"WAS"	"DANFORTH"	93	253			27	373	"141 DANFORTH"
141	"WAS"	"DENNYSVILLE"	99	198			41	338	"141 DENNYSVILLE"
141	"WAS"	"GRAND LAKE STREAM"	18	80			4	102	"141 GRAND LAKE STREAM"
141	"WAS"	"MEDDYBEMPS"	33	70			2	105	"141 MEDDYBEMPS"
141	"WAS"	"PRINCETON"	105	371			34	510	"141 PRINCETON"
141	"WAS"	"T26 ED BPP TOWNSHIP"	0	3			0	3	"141 T26 ED BPP TOWNSHIP"
141	"WAS"	"TALMADGE"	9	30			1	40	"141 TALMADGE"
141	"WAS"	"TOPSFIELD"	22	94			5	121	"141 TOPSFIELD"
141	"WAS"	"VANCEBORO"	31	61			3	95	"141 VANCEBORO"
141	"WAS"	"WAITE"	8	41			2	51	"141 WAITE"
141	"WAS"	"NORTH WASHINGTON"	12	30			5	47	"141 NORTH WASHINGTON"
142	"PEN"	"ENFIELD"	273	544			36	853	"142 ENFIELD"
142	"PEN"	"HOWLAND"	238	415			45	698	"142 HOWLAND"
142	"PEN"	"LINCOLN"	615	1812			106	2533	"142 LINCOLN"
142	"PEN"	"NORTH PENOBSCOT"	2	39			1	42	"142 NORTH PENOBSCOT"
142	"PEN"	"MAXFIELD"	22	34			2	58	"142 MAXFIELD"
142	"PEN"	"SEBOEIS"	11	24			0	35	"142 SEBOEIS"
142	"PEN"	"WOODVILLE"	27	99			5	131	"142 WOODVILLE"
143	"PEN"	"EAST MILLINOCKET"	642	284			24	950	"143 EAST MILLINOCKET"
143	"PEN"	"GRINDSTONE/HERSEYTOWN/SOLDIERTOWN"	13	12			0	25	"143 GRINDSTONE/HERSEYTOWN/SOLDIERTOWN"
143	"PEN"	"HERSEYTOWN"	3	11			1	15	"143 HERSEYTOWN"
143	"PEN"	"MEDWAY"	482	251			18	751	"143 MEDWAY"
143	"PEN"	"MILLINOCKET"	1249	981			55	2285	"143 MILLINOCKET"
143	"PEN"	"MILLINOCKET PENOBSCOT TOWNSHIPS"	78	53			5	136	"143 MILLINOCKET PENOBSCOT TOWNSHIPS"
143	"PEN"	"PATTEN"	223	233			55	511	"143 PATTEN"
143	"PEN"	"T5 R7/T5 R8/T6 R8S"	4	7			1	12	"143 T5 R7/T5 R8/T6 R8S"
143	"PEN"	"NORTH PENOBSCOT"	98	83			7	188	"143 NORTH PENOBSCOT"
144	"ARO"	"AMITY"		111			13	124	"144 AMITY"
144	"ARO"	"CARY"		80			38	118	"144 CARY"
144	"ARO"	"GLENWOOD"		2			0	2	"144 GLENWOOD"
144	"ARO"	"HAYNESVILLE"		45			5	50	"144 HAYNESVILLE"
144	"ARO"	"HODGDON"		620			70	690	"144 HODGDON"
144	"ARO"	"HOULTON"		2369			403	2772	"144 HOULTON"
144	"ARO"	"MACWAHOC"		37			7	44	"144 MACWAHOC"
144	"ARO"	"MOLUNKUS"		40			8	48	"144 MOLUNKUS"
144	"ARO"	"ORIENT"		73			16	89	"144 ORIENT"
144	"ARO"	"REED"		62			17	79	"144 REED"
144	"ARO"	"BENEDICTA"		138			35	173	"144 BENEDICTA"
144	"ARO"	"T4 R3"		0			1	1	"144 T4 R3"
144	"ARO"	"WESTON"		158			27	185	"144 WESTON"
144	"ARO"	"SOUTH AROOSTOOK"		178			44	222	"144 SOUTH AROOSTOOK"
145	"ARO"	"BRIDGEWATER"	65	207	21		20	313	"145 BRIDGEWATER"
145	"ARO"	"CRYSTAL"	21	96	24		8	149	"145 CRYSTAL"
145	"ARO"	"DYER BROOK"	18	81	42		9	150	"145 DYER BROOK"
145	"ARO"	"E"	2	25	5		3	35	"145 E"
145	"ARO"	"HAMMOND"	13	32	4		1	50	"145 HAMMOND"
145	"ARO"	"HERSEY"	4	19	8		3	34	"145 HERSEY"
145	"ARO"	"ISLAND FALLS"	69	204	135		11	419	"145 ISLAND FALLS"
145	"ARO"	"LINNEUS"	81	280	83		38	482	"145 LINNEUS"
145	"ARO"	"LITTLETON"	91	317	77		24	509	"145 LITTLETON"
145	"ARO"	"LUDLOW"	76	103	41		14	234	"145 LUDLOW"
145	"ARO"	"MERRILL"	17	44	69		7	137	"145 MERRILL"
145	"ARO"	"MONTICELLO"	76	278	55		16	425	"145 MONTICELLO"
145	"ARO"	"MORO"	2	21	2		2	27	"145 MORO"
145	"ARO"	"NEW LIMERICK"	87	198	56		6	347	"145 NEW LIMERICK"
145	"ARO"	"OAKFIELD"	63	170	133		26	392	"145 OAKFIELD"
145	"ARO"	"SHERMAN"	65	307	84		18	474	"145 SHERMAN"
145	"ARO"	"SMYRNA"	29	65	49		10	153	"145 SMYRNA"
145	"ARO"	"T11 R4 WELS"	7	15	1		1	24	"145 T11 R4 WELS"
145	"ARO"	"TD R2 WELS"	4	0	0		0	4	"145 TD R2 WELS"
145	"PEN"	"MOUNT CHASE"	26	57	21		3	107	"145 MOUNT CHASE"
145	"PEN"	"STACYVILLE"	22	130	24		23	199	"145 STACYVILLE"
145	"ARO"	"CENTRAL AROOSTOOK"	13	40	6		4	63	"145 CENTRAL AROOSTOOK"
146	"ARO"	"BLAINE"	101	274			24	399	"146 BLAINE"
146	"ARO"	"CASTLE HILL"	94	129			11	234	"146 CASTLE HILL"
146	"ARO"	"CHAPMAN"	115	149			15	279	"146 CHAPMAN"
146	"ARO"	"MAPLETON"	401	718			36	1155	"146 MAPLETON"
146	"ARO"	"MARS HILL"	242	491			49	782	"146 MARS HILL"
146	"ARO"	"PERHAM"	91	105			11	207	"146 PERHAM"
146	"ARO"	"WADE"	56	86			4	146	"146 WADE"
146	"ARO"	"WASHBURN"	296	529			39	864	"146 WASHBURN"
146	"ARO"	"WESTFIELD"	107	140			11	258	"146 WESTFIELD"
146	"ARO"	"WOODLAND"	427	234			25	686	"146 WOODLAND"
147	"ARO"	"PRESQUE ISLE"	1782	2193			94	4069	"147 PRESQUE ISLE"
148	"ARO"	"CONNOR"	89	101			12	202	"148 CONNOR"
148	"ARO"	"CASWELL"	86	59			4	149	"148 CASWELL"
148	"ARO"	"CYR"	24	26			3	53	"148 CYR"
148	"ARO"	"EASTON"	289	381			19	689	"148 EASTON"
148	"ARO"	"FORT FAIRFIELD"	1117	557			30	1704	"148 FORT FAIRFIELD"
148	"ARO"	"HAMLIN"	47	48			9	104	"148 HAMLIN"
148	"ARO"	"LIMESTONE"	350	442			20	812	"148 LIMESTONE"
148	"ARO"	"PRESQUE ISLE"	146	201			9	356	"148 PRESQUE ISLE"
148	"ARO"	"STOCKHOLM"	62	90			5	157	"148 STOCKHOLM"
149	"ARO"	"CARIBOU"	1370	2396			121	3887	"149 CARIBOU"
149	"ARO"	"NEW SWEDEN"	128	230			19	377	"149 NEW SWEDEN"
149	"ARO"	"WESTMANLAND"	22	25			2	49	"149 WESTMANLAND"
150	"ARO"	"CROSS LAKE (T17 R5)"	98				23	121	"150 CROSS LAKE (T17 R5)"
150	"ARO"	"FRENCHVILLE"	551				75	626	"150 FRENCHVILLE"
150	"ARO"	"GRAND ISLE"	205				28	233	"150 GRAND ISLE"
150	"ARO"	"MADAWASKA"	1994				252	2246	"150 MADAWASKA"
150	"ARO"	"MADAWASKA LAKE (T16 R4)"	89				19	108	"150 MADAWASKA LAKE (T16 R4)"
150	"ARO"	"SAINT AGATHA"	534				52	586	"150 SAINT AGATHA"
150	"ARO"	"T15 R6"	8				1	9	"150 T15 R6"
150	"ARO"	"T17 R3 VAN BUREN COVE"	23				1	24	"150 T17 R3 VAN BUREN COVE"
150	"ARO"	"VAN BUREN"	770				194	964	"150 VAN BUREN"
150	"ARO"	"SQUARE LAKE"	218				44	262	"150 SQUARE LAKE"
151	"ARO"	"ALLAGASH"	132				37	169	"151 ALLAGASH"
151	"ARO"	"ASHLAND"	525				103	628	"151 ASHLAND"
151	"ARO"	"BIG TWENTY/T15 R15 WELS"	1				1	2	"151 BIG TWENTY/T15 R15 WELS"
151	"ARO"	"EAGLE LAKE"	368				115	483	"151 EAGLE LAKE"
151	"ARO"	"FORT KENT"	1774				413	2187	"151 FORT KENT"
151	"ARO"	"GARFIELD"	42				11	53	"151 GARFIELD"
151	"ARO"	"MASARDIS"	110				20	130	"151 MASARDIS"
151	"ARO"	"NASHVILLE"	17				3	20	"151 NASHVILLE"
151	"ARO"	"NEW CANADA"	138				26	164	"151 NEW CANADA"
151	"ARO"	"OXBOW"	27				11	38	"151 OXBOW"
151	"ARO"	"PORTAGE LAKE"	204				56	260	"151 PORTAGE LAKE"
151	"ARO"	"SAINT FRANCIS"	209				37	246	"151 SAINT FRANCIS"
151	"ARO"	"SAINT JOHN"	142				25	167	"151 SAINT JOHN"
151	"ARO"	"T12/R13 WELS/T9 R8 WELS"	2				1	3	"151 T12/R13 WELS/T9 R8 WELS"
151	"ARO"	"WALLAGRASS"	259				42	301	"151 WALLAGRASS"
151	"ARO"	"WINTERVILLE"	100				38	138	"151 WINTERVILLE"
151	"ARO"	"NORTHWEST AROOSTOOK"	3				2	5	"151 NORTHWEST AROOSTOOK"
