dist	democrat	republican	ind1	ind2	blank	total	join_id
1	3326	1616	0	0	293	5235	dist1
2	3096	2550	0	0	183	5829	dist2
3	3626	2471	0	0	272	6369	dist3
4	2974	2641	0	0	266	5881	dist4
5	2296	2489	0	0	152	4937	dist5
6	2738	2331	0	0	198	5267	dist6
7	2238	3722	0	0	254	6214	dist7
8	3774	2203	0	0	296	6273	dist8
9	2672	2763	0	0	204	5639	dist9
10	1904	3432	0	0	313	5649	dist10
11	3185	1507	0	0	198	4890	dist11
12	1847	0	1614	0	202	3663	dist12
13	3267	2054	0	0	278	5599	dist13
14	2606	1582	991	0	261	5440	dist14
15	3331	1709	0	0	334	5374	dist15
16	2009	3479	0	0	249	5737	dist16
17	1754	2757	0	0	263	4774	dist17
18	2326	1383	0	0	262	3971	dist18
19	2168	2284	0	0	217	4669	dist19
20	1561	3362	0	0	234	5157	dist20
21	2030	3137	0	0	232	5399	dist21
22	2185	2932	0	0	203	5320	dist22
23	1790	3163	0	0	192	5145	dist23
24	2765	2345	0	0	188	5298	dist24
25	0	3988	0	0	854	4842	dist25
26	2297	2257	0	0	278	4832	dist26
27	3151	2534	0	0	184	5869	dist27
28	2732	3034	0	0	235	6001	dist28
29	2811	3181	0	0	247	6239	dist29
30	4096	1955	0	0	209	6260	dist30
31	4631	0	0	0	1130	5761	dist31
32	4166	0	0	0	1264	5430	dist32
33	1896	2158	0	0	198	4252	dist33
34	3901	0	0	0	1005	4906	dist34
35	2846	1962	0	0	306	5114	dist35
36	3234	0	0	0	912	4146	dist36
37	3805	0	0	0	921	4726	dist37
38	4269	764	0	0	464	5497	dist38
39	4314	941	0	0	387	5642	dist39
40	3135	0	0	0	955	4090	dist40
41	4021	908	0	0	290	5219	dist41
42	3405	1309	0	0	445	5159	dist42
43	3603	1948	0	0	326	5877	dist43
44	3551	2639	0	0	210	6400	dist44
45	3385	2638	0	0	194	6217	dist45
46	2740	3042	0	0	198	5980	dist46
47	3727	2314	0	0	189	6230	dist47
48	3946	1837	0	0	207	5990	dist48
49	3955	2038	0	0	291	6284	dist49
50	4476	0	0	0	1038	5514	dist50
51	4601	0	0	0	1233	5834	dist51
52	2983	1659	0	0	181	4823	dist52
53	2303	3305	0	0	142	5750	dist53
54	3102	2836	0	0	167	6105	dist54
55	2907	2489	0	0	114	5510	dist55
56	1978	2731	0	0	237	4946	dist56
57	1721	3517	0	0	209	5447	dist57
58	2446	2336	0	0	259	5041	dist58
59	2848	2065	0	0	297	5210	dist59
60	2399	960	0	0	275	3634	dist60
61	1967	1200	0	0	205	3372	dist61
62	1893	1206	0	0	188	3287	dist62
63	1849	3031	0	0	201	5081	dist63
64	2658	2453	0	0	190	5301	dist64
65	2285	2789	0	0	133	5207	dist65
66	2628	2530	0	0	204	5362	dist66
67	1853	3361	0	0	215	5429	dist67
68	2551	2720	0	0	299	5570	dist68
69	0	2598	2451	3	224	5276	dist69
70	2120	2721	0	0	207	5048	dist70
71	1981	2709	0	0	221	4911	dist71
72	1559	3096	0	0	255	4910	dist72
73	1477	2937	0	0	203	4617	dist73
74	2359	2300	0	0	130	4789	dist74
75	1665	3538	0	0	115	5318	dist75
76	2374	3178	0	0	183	5735	dist76
77	1977	3129	0	0	127	5233	dist77
78	2388	2246	0	0	124	4758	dist78
79	1758	2940	0	0	206	4904	dist79
80	2296	2543	0	0	187	5026	dist80
81	3556	1849	0	0	130	5535	dist81
82	0	2376	2681	0	170	5227	dist82
83	2698	1953	0	0	192	4843	dist83
84	4115	0	0	0	1432	5547	dist84
85	3470	0	0	0	933	4403	dist85
86	0	3245	0	0	754	3999	dist86
87	2257	3041	0	0	176	5474	dist87
88	2052	2914	0	0	207	5173	dist88
89	0	3048	2564	0	138	5750	dist89
90	3335	2304	0	0	200	5839	dist90
91	2237	2718	0	0	122	5077	dist91
92	2965	1887	0	0	215	5067	dist92
93	2512	1984	0	0	192	4688	dist93
94	3016	0	3065	0	214	6295	dist94
95	2064	2700	0	0	145	4909	dist95
96	2866	2487	0	0	305	5658	dist96
97	3880	1435	0	0	209	5524	dist97
98	2119	2969	0	0	182	5270	dist98
99	2117	2794	0	0	239	5150	dist99
100	0	4069	0	0	850	4919	dist100
101	1844	3492	0	0	162	5498	dist101
102	1237	3456	0	0	250	4943	dist102
103	1562	3597	0	0	224	5383	dist103
104	1533	2662	0	0	209	4404	dist104
105	1666	2986	0	0	182	4834	dist105
106	1923	2055	0	0	124	4102	dist106
107	1552	1379	1151	0	111	4193	dist107
108	1576	2652	0	0	202	4430	dist108
109	3497	0	0	0	769	4266	dist109
110	2307	1662	0	0	227	4196	dist110
111	1975	2629	0	0	111	4715	dist111
112	1727	3083	0	0	294	5104	dist112
113	2338	2431	0	0	156	4925	dist113
114	1456	3305	0	0	134	4895	dist114
115	2385	2030	0	0	201	4616	dist115
116	2100	2620	0	0	120	4840	dist116
117	2406	3263	0	0	268	5937	dist117
118	1599	2583	0	0	380	4562	dist118
119	0	4381	0	0	747	5128	dist119
120	1995	2300	0	0	144	4439	dist120
121	2211	2188	0	0	162	4561	dist121
122	2431	1561	0	0	240	4232	dist122
123	2812	1515	0	0	420	4747	dist123
124	2691	1839	0	0	291	4821	dist124
125	2093	1818	232	0	160	4303	dist125
126	1796	1458	0	0	188	3442	dist126
127	2208	1719	0	0	228	4155	dist127
128	2350	2407	0	0	195	4952	dist128
129	1960	3230	0	0	265	5455	dist129
130	1721	3165	0	0	184	5070	dist130
131	1685	3688	0	0	141	5514	dist131
132	3200	1890	0	0	138	5228	dist132
133	3021	2256	0	0	157	5434	dist133
134	4461	0	0	0	1052	5513	dist134
135	3966	1605	0	0	194	5765	dist135
136	1931	2663	0	0	214	4808	dist136
137	1756	2867	0	0	233	4856	dist137
138	2442	2239	0	0	135	4816	dist138
139	1308	3247	0	0	120	4675	dist139
140	2528	2153	0	0	216	4897	dist140
141	1100	3331	0	0	291	4722	dist141
142	1188	2967	0	0	195	4350	dist142
143	2792	1915	0	0	166	4873	dist143
144	0	3913	0	0	684	4597	dist144
145	851	2689	940	0	247	4727	dist145
146	1930	2855	0	0	225	5010	dist146
147	1782	2193	0	0	94	4069	dist147
148	2210	1905	0	0	111	4226	dist148
149	1520	2651	0	0	142	4313	dist149
150	4490	0	0	0	689	5179	dist150
151	4053	0	0	0	941	4994	dist151
